Date,MSCI World Sector Neutral Quality,S&P 500,MSCI Europe Small Cap Value Weighted,MSCI EMU,MSCI ACWI,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI Emerging Markets,MSCI World Momentum,S&P 500 Minimum Volatility,FTSE World Government Bond - Developed Markets,MSCI World
03/1995,,12857.484286955829,9878.190236522809,20356.520570915956,18464.034249731223,10216.284937797573,85075.4291380667,50931.32967286131,9209.582135685287,,18615.749694123217,82118.7708814733
04/1995,,12982.853312539624,9842.269906598374,20809.573876262268,18769.496339258814,10267.996649593251,86116.39164426742,52198.03594456162,9431.483364171881,,19048.70347712831,83336.1358916521
05/1995,,13710.366892566948,10229.693885574425,21408.097851495222,19269.910738871044,10650.536711029528,89237.39402061989,55824.32987608996,9606.72460255632,,19884.822591467026,85328.47281298498
06/1995,,13911.774039246971,10241.4184375,21406.64226609386,19113.356386529125,10993.70395175971,89327.08487736249,55522.304399271845,9782.380477007047,,19649.573745905196,84571.50239243411
07/1995,,14206.113189136824,10476.962551915436,22362.224819172476,19805.27922632881,11438.663264112753,92891.08218758012,56108.94971137266,10040.99550469657,,19486.38354974938,87752.24032544372
08/1995,,14673.019847872905,10393.548324708427,21843.3965028714,19958.173800880515,12050.395098478413,92003.8699706089,56446.10546072449,10281.197076907638,,19807.2976279749,88375.50408205787
09/1995,,15488.44260880918,10739.911804740672,22328.679644979977,20770.358554329967,12379.943546898225,95999.19734995281,56898.94907298756,10920.270267237005,,19875.873228874767,92097.03443530513
10/1995,,15193.003751486518,10359.587129765116,21664.43847906925,20105.485991528687,11668.038761648057,94059.42574361124,53869.593361571046,10881.140987098403,,20036.192130086438,89217.37093241034
11/1995,,15894.22979652807,10119.366856525432,21808.04935671132,20782.756934475572,12155.934154511075,94932.95147634242,53023.258207918494,11262.549103923571,,20658.523108497455,92495.14614665232
12/1995,,16456.94876457078,10460.206406899257,23013.23135816858,21747.617781262248,12592.647755390042,99492.47126182586,56251.91600156801,11607.472586217205,,20783.587243951533,96687.24930833216
01/1996,,17223.68184932228,10628.099493731155,24023.38486479518,22500.96484684971,12775.384202507541,101358.71302174898,60981.89733375655,12101.342205778752,,21302.30492954967,99611.20517696098
02/1996,,17483.252118797678,11150.188686352756,24464.799190037127,22724.483415802075,13158.67750837989,103798.23732174812,60357.15624900241,12344.762205519568,,20791.04669061057,100773.132381904
